"","MSOA11CD.row","tuesday.12pm15","tuesday.12pm30","tuesday.12pm45","tuesday.12pm60","tuesday.12pm75","tuesday.12pm90"
"1",1,NA,5,11,22,29,37
"839",2,NA,1,3,5,6,11
"1683",3,NA,2,3,5,6,12
"2344",4,NA,2,3,5,8,8
"2895",5,NA,2,3,3,7,11
"3365",6,1,2,3,6,8,13
"3869",7,NA,1,3,5,7,15
"3978",8,NA,2,3,6,8,16
"4089",9,1,2,5,7,9,13
"2",10,1,2,5,8,12,20
"89",11,NA,1,3,6,8,14
"157",12,NA,1,5,10,10,18
"222",13,NA,1,5,9,12,22
"302",14,1,1,3,6,10,15
"361",15,NA,NA,3,6,12,21
"444",16,NA,NA,2,6,12,16
"550",17,NA,1,4,7,9,13
"656",18,NA,1,3,6,8,10
"767",19,NA,NA,1,3,6,9
"840",20,NA,1,2,4,4,4
"949",21,NA,NA,2,4,6,13
"1050",22,NA,NA,1,4,6,9
"1139",23,NA,NA,2,5,12,21
"1245",24,NA,NA,1,4,7,17
"1304",25,NA,1,1,4,14,20
"1380",26,NA,NA,1,5,8,18
"1417",27,NA,NA,2,4,9,21
"1508",28,NA,1,2,5,13,21
"1585",29,NA,NA,NA,2,2,3
"1684",30,NA,NA,3,8,17,24
"1768",31,NA,NA,2,7,11,17
"1848",32,NA,NA,1,7,14,22
"1922",33,NA,1,2,6,11,22
"1987",34,NA,NA,1,7,13,20
"2087",35,NA,1,3,5,10,22
"2160",36,NA,NA,NA,NA,NA,1
"2223",37,NA,1,3,5,14,20
"2276",38,NA,1,2,9,13,23
"2303",39,NA,1,1,3,8,16
"2345",40,NA,2,3,9,16,28
"2370",41,NA,NA,2,8,15,23
"2402",42,NA,1,2,7,13,22
"2465",43,NA,1,3,6,13,23
"2543",44,NA,1,1,7,14,20
"2613",45,NA,1,4,9,19,26
"2644",46,NA,1,5,7,17,28
"2693",47,NA,NA,NA,NA,1,3
"2750",48,NA,NA,3,7,13,24
"2838",49,NA,NA,4,8,16,24
"2896",50,NA,NA,4,9,16,23
"2964",51,NA,1,4,8,18,25
"3036",52,NA,NA,2,8,16,26
"3098",53,NA,NA,NA,1,1,1
"3116",54,NA,NA,1,8,14,22
"3173",55,NA,NA,2,10,15,25
"3222",56,NA,NA,1,5,13,21
"3250",57,NA,NA,3,8,16,24
"3277",58,NA,NA,2,7,13,24
"3329",59,NA,1,2,6,12,24
"3366",60,NA,NA,4,10,17,27
"3424",61,NA,NA,5,12,22,27
"3495",62,NA,NA,1,9,13,22
"3561",63,NA,NA,5,11,17,26
"3577",64,NA,NA,7,11,20,25
"3641",65,NA,NA,NA,1,2,4
"3702",66,NA,NA,1,2,5,9
"3765",67,NA,1,1,2,5,10
